Frame,Raw_Intensity,Processed_Intensity
812,155.48,0.4367
813,140.54,0.524
814,153.72,0.5397
815,158.02,0.4091
816,20.14,0.3235
817,15.16,0.2127
818,48.5,0.1042
819,34.69,0.088
820,41.42,0.0844
821,2.76,0.0607
822,11.36,0.1893
823,23.0,0.2764
824,172.82,0.2788
825,135.09,0.2823
826,5.33,0.4537
827,15.11,0.4155
828,207.18,0.4837
829,131.76,0.5009
830,208.32,0.5188
831,23.83,0.5025
832,34.37,0.5917
833,189.66,0.5909
834,227.6,0.7659
835,207.4,0.7637
836,211.94,0.5931
837,31.93,0.5717
838,6.37,0.5171
839,204.58,0.4514
840,148.76,0.5979
841,141.4,0.6097
842,189.28,0.4469
843,19.06,0.3209
844,29.66,0.1953
845,13.36,0.0351
846,6.49,0.0377
847,17.17,0.2021
848,21.78,0.2538
849,206.32,0.2574
850,68.97,0.4724
851,10.35,0.5882
852,248.19,0.5702
853,146.17,0.6325
854,186.94,0.7574
855,135.99,0.5666
856,144.5,0.4337
857,43.14,0.318
858,3.4,0.1949
859,62.6,0.2834
860,3.76,0.435
861,239.64,0.5871
862,205.98,0.6541
863,166.79,0.6954
864,134.58,0.476
865,48.16,0.2895
866,3.92,0.1667
867,5.59,0.1655
868,34.89,0.2566
869,133.28,0.2593
870,146.07,0.2738
871,6.74,0.2507
872,21.23,0.1764
873,10.02,0.0853
874,53.45,0.2827
875,48.22,0.3026
876,218.84,0.3415
877,42.59,0.3097
878,51.82,0.3223
879,19.26,0.122
880,61.74,0.1128
881,3.64,0.0786
882,32.74,0.124
883,15.04,0.1179
884,68.08,0.1252
885,55.17,0.1058
886,11.54,0.1034
887,11.86,0.2233
888,12.5,0.3102
889,196.84,0.3118
890,148.51,0.3278
891,13.3,0.4081
892,29.02,0.4217
893,98.82,0.4838
894,211.5,0.608
895,215.22,0.5895
896,146.67,0.5544
897,9.22,0.3635
898,61.1,0.2924
899,6.38,0.2756
900,138.84,0.4044
901,128.57,0.5223
902,147.59,0.6366
903,187.85,0.6515
904,129.18,0.66
905,154.82,0.6684
906,137.75,0.5575
907,156.54,0.5222
908,68.69,0.5928
909,91.26,0.6924
910,230.69,0.5571
911,244.79,0.5249
912,11.12,0.5686
913,34.18,0.4889
914,138.19,0.3921
915,145.01,0.5238
916,140.75,0.506
917,152.66,0.4265
918,15.11,0.2999
919,52.75,0.2124
920,8.9,0.2918
921,46.76,0.4372
922,238.03,0.5809
923,171.33,0.7323
924,207.1,0.8211
925,171.65,0.6123
926,142.17,0.4691
927,13.61,0.3261
928,17.54,0.3253
929,53.42,0.4098
930,170.8,0.4428
931,232.98,0.4647
932,49.03,0.4309
933,41.08,0.2739
934,17.08,0.2349
935,2.18,0.4195
936,190.98,0.3888
937,247.39,0.4084
938,8.13,0.4156
939,38.1,0.2509
940,9.98,0.032
941,13.99,0.0668
942,12.22,0.0417
943,45.48,0.0536
944,11.2,0.0507
945,22.76,0.0729
946,10.81,0.0353
947,36.08,0.0498
948,5.07,0.0393
949,26.76,0.2158
950,11.45,0.3049
951,200.53,0.3448
952,131.75,0.5324
953,48.02,0.6583
954,228.32,0.6186
955,146.64,0.5055
956,157.94,0.5105
957,10.2,0.3156
958,53.44,0.2152
959,18.91,0.2296
960,38.7,0.4065
961,173.45,0.4973
962,200.28,0.642
963,151.0,0.8233
964,174.34,0.8917
965,233.57,0.8849
966,246.86,0.9457
967,193.02,0.8207
968,216.35,0.6563
969,40.03,0.6057
970,56.93,0.5721
971,192.5,0.3844
972,156.91,0.3794
973,14.7,0.472
974,34.66,0.4194
975,156.4,0.3089
976,135.96,0.3453
977,38.15,0.3356
978,53.87,0.2027
979,24.25,0.0791
980,13.61,0.0946
981,3.14,0.0728
982,54.77,0.1112
983,30.49,0.2304
984,65.48,0.3561
985,141.66,0.454
986,138.17,0.5536
987,159.97,0.5067
988,137.54,0.3855
989,15.1,0.3826
990,11.42,0.3899
991,135.06,0.2868
992,167.84,0.3253
993,26.74,0.3528
994,56.43,0.4157
995,41.0,0.3388
996,202.6,0.3663
997,85.3,0.3693
998,56.22,0.3455
999,59.63,0.1729
1000,15.52,0.096
1001,17.09,0.0954
1002,2.69,0.0555
1003,55.61,0.2325
1004,16.76,0.3493
1005,205.62,0.4826
1006,142.66,0.433
1007,145.83,0.4668
1008,2.39,0.285
1009,53.09,0.1726
1010,10.22,0.1797
1011,21.89,0.3727
1012,153.52,0.3511
1013,209.74,0.3733
1014,29.86,0.4856
1015,34.1,0.4745
1016,142.54,0.3031
1017,141.57,0.3079
1018,25.64,0.2859
1019,34.94,0.2226
1020,10.49,0.2585
1021,74.51,0.3918
1022,180.2,0.5262
1023,168.78,0.6989
1024,179.42,0.6384
1025,195.99,0.5233
1026,9.5,0.3836
1027,56.54,0.2686
1028,18.7,0.0901
1029,55.88,0.128
1030,4.17,0.2122
1031,50.22,0.4251
1032,147.01,0.3831
1033,247.46,0.391
1034,10.78,0.3581
1035,12.65,0.2556
1036,14.89,0.162
1037,36.91,0.3331
1038,146.81,0.3887
1039,194.6,0.3852
1040,72.46,0.385
1041,11.12,0.3011
1042,36.7,0.1809
1043,56.63,0.1176
1044,65.44,0.118
1045,4.51,0.0965
1046,11.44,0.0712
1047,13.64,0.0199
1048,29.49,0.049
1049,10.26,0.0504
1050,35.82,0.0834
1051,12.89,0.2357
1052,49.12,0.4127
1053,193.14,0.3875
1054,200.52,0.4482
1055,8.64,0.5792
1056,78.12,0.5275
1057,189.88,0.469
1058,137.62,0.5889
1059,137.68,0.5312
1060,137.42,0.3668
1061,16.2,0.2545
1062,13.24,0.142
1063,16.86,0.0176
1064,16.86,0.0256
1065,3.76,0.0533
1066,24.82,0.2342
1067,42.94,0.4137
1068,211.22,0.6384
1069,209.72,0.627
1070,245.24,0.6261
1071,12.58,0.5699
1072,41.98,0.4367
1073,150.78,0.2198
1074,66.58,0.2232
1075,12.22,0.3129
1076,16.3,0.3898
1077,138.3,0.4577
1078,233.42,0.5995
1079,139.56,0.7182
1080,164.57,0.7192
1081,143.86,0.5333
1082,139.29,0.4245
1083,33.72,0.4093
1084,22.7,0.4461
1085,148.15,0.3548
1086,183.48,0.3688
1087,41.15,0.4066
1088,48.84,0.2791
1089,63.25,0.1372
1090,11.13,0.1014
1091,31.02,0.2243
1092,2.77,0.297
1093,180.82,0.3251
1094,141.42,0.3061
1095,41.33,0.347
1096,10.55,0.2026
1097,46.72,0.2155
1098,25.72,0.3553
1099,155.26,0.3801
1100,191.46,0.3568
1101,37.26,0.3946
1102,21.68,0.3022
1103,66.36,0.1346
1104,55.96,0.1121
1105,11.37,0.1069
1106,13.05,0.0553
1107,16.13,0.0181
1108,10.9,0.0199
1109,16.01,0.0389
1110,13.32,0.0518
1111,33.46,0.2381
1112,30.0,0.386
1113,211.0,0.6033
1114,174.97,0.5748
1115,246.74,0.7587
1116,2.92,0.6966
1117,227.52,0.6785
1118,144.35,0.5905
1119,155.44,0.7295
1120,152.26,0.6594
1121,152.28,0.6511
1122,152.19,0.5177
1123,135.37,0.5398
1124,12.12,0.5328
1125,175.97,0.5859
1126,144.76,0.5138
1127,209.27,0.5407
1128,57.96,0.3941
1129,41.02,0.2695
1130,18.47,0.0975
1131,10.82,0.0594
1132,24.49,0.1651
1133,17.03,0.276
1134,154.61,0.2874
1135,137.57,0.2805
1136,23.08,0.46
1137,17.09,0.4431
1138,209.94,0.5002
1139,136.44,0.6646
1140,198.91,0.784
1141,199.66,0.6185
1142,145.38,0.6136
1143,32.2,0.5566
1144,131.14,0.3849
1145,137.6,0.2652
1146,15.18,0.2796
1147,16.85,0.1968
1148,47.68,0.0827
1149,42.14,0.0784
1150,14.97,0.1058
1151,10.6,0.0835
1152,46.3,0.1672
1153,23.73,0.2893
1154,132.04,0.312
1155,146.19,0.3013
1156,35.01,0.4704
1157,34.78,0.5379
1158,205.44,0.5525
1159,204.49,0.709
1160,161.88,0.7024
1161,203.23,0.5209
1162,27.69,0.3753
1163,10.36,0.234
1164,48.08,0.081
1165,10.03,0.2569
1166,38.9,0.3513
1167,216.65,0.3168
1168,111.78,0.4339
1169,11.07,0.535
1170,135.86,0.4919
1171,147.46,0.4465
1172,170.32,0.4669
1173,63.07,0.5127
1174,32.93,0.4844
1175,185.13,0.3819
1176,117.07,0.3373
1177,60.2,0.3544
1178,15.09,0.1925
1179,51.3,0.2116
1180,11.22,0.2829
1181,137.58,0.3079
1182,136.75,0.2704
1183,42.02,0.2934
1184,10.94,0.1692
1185,35.92,0.1025
1186,4.22,0.1037
1187,64.98,0.136
1188,43.3,0.1063
1189,45.69,0.1127
1190,4.06,0.0635
1191,11.08,0.0488
1192,12.13,0.0344
1193,27.51,0.1842
1194,30.22,0.3052
1195,164.93,0.3332
1196,141.13,0.316
1197,42.2,0.4137
1198,9.04,0.4097
1199,135.19,0.3113
1200,160.62,0.2876
1201,35.42,0.3327
1202,16.8,0.2173
1203,57.47,0.0986
1204,11.16,0.0793
1205,33.08,0.193
1206,14.71,0.2605
1207,138.96,0.2679
1208,129.95,0.2522
1209,19.18,0.2921
1210,16.16,0.1875
1211,57.64,0.1066
1212,26.57,0.0928
1213,43.02,0.2613
1214,4.31,0.3362
1215,197.18,0.5394
1216,138.13,0.5338
1217,244.93,0.6083
1218,37.04,0.5555
1219,84.28,0.5511
1220,140.49,0.449
1221,133.34,0.5486
1222,135.27,0.51
1223,144.04,0.3888
1224,42.8,0.303
1225,10.3,0.2184
1226,41.17,0.2313
1227,44.37,0.348
1228,157.9,0.3671
1229,168.2,0.3407
1230,30.73,0.5302
1231,12.82,0.5101
1232,248.08,0.3842
1233,136.22,0.3596
1234,33.0,0.483
