Frame,Raw_Intensity,Processed_Intensity
986,1.85,0.0031
987,2.1,0.0028
988,1.64,0.0031
989,1.62,0.0036
990,2.48,0.0032
991,2.48,0.0028
992,1.6,0.0032
993,1.24,0.0027
994,2.0,0.0023
995,1.89,0.0026
996,2.0,0.0032
997,2.0,0.0027
998,2.0,0.0023
999,1.33,0.002
1000,1.4,0.0016
1001,1.66,0.001
1002,1.52,0.0014
1003,1.2,0.0012
1004,1.84,0.0009
1005,1.2,0.0009
1006,1.3,0.0009
1007,1.47,0.0005
1008,1.23,0.0008
1009,1.4,0.0006
1010,1.52,0.0003
1011,1.1,0.001
1012,1.1,0.0012
1013,2.0,0.001
1014,1.7,0.0014
1015,1.27,0.0015
1016,1.54,0.001
1017,1.24,0.0008
1018,1.42,0.0007
1019,1.42,0.0006
1020,1.2,0.0005
1021,1.34,0.0006
1022,1.17,0.0006
1023,1.6,0.0008
1024,1.42,0.0006
1025,1.4,0.0009
1026,1.07,0.0007
1027,1.53,0.0006
1028,1.32,0.0007
1029,1.4,0.0009
1030,1.5,0.0006
1031,1.3,0.0004
1032,1.1,0.0004
1033,1.16,0.0003
1034,1.4,0.0006
1035,1.36,0.0011
1036,1.7,0.0011
1037,1.7,0.0011
1038,1.08,0.0013
1039,1.42,0.0012
1040,1.66,0.001
1041,1.5,0.001
1042,1.5,0.0008
1043,1.1,0.0004
1044,1.1,0.0001
1045,1.17,0.0005
1046,1.2,0.0012
1047,1.96,0.0017
1048,2.02,0.0024
1049,1.7,0.0028
1050,2.0,0.0025
1051,1.7,0.0024
1052,1.55,0.0023
1053,1.94,0.0019
1054,1.6,0.0015
1055,1.52,0.0015
1056,1.17,0.0011
1057,1.5,0.001
1058,1.5,0.0015
1059,1.46,0.0016
1060,2.1,0.0013
1061,1.34,0.0012
1062,1.1,0.0011
1063,1.4,0.0004
1064,1.4,0.0003
1065,1.2,0.0007
1066,1.2,0.0005
1067,1.6,0.0005
1068,1.21,0.0006
1069,1.32,0.0006
