Frame,Raw_Intensity,Processed_Intensity
1120,224.34,0.7046
1121,124.45,0.7938
1122,243.69,0.8207
1123,241.41,0.7947
1124,192.44,0.6981
1125,192.26,0.5047
1126,5.58,0.4073
1127,5.5,0.3434
1128,121.52,0.2331
1129,113.72,0.2389
1130,56.54,0.3381
1131,12.74,0.3281
1132,127.65,0.3341
1133,109.2,0.386
1134,121.1,0.4988
1135,120.34,0.5487
1136,151.65,0.5744
1137,189.08,0.4809
1138,140.88,0.4854
1139,5.99,0.4557
1140,125.84,0.4161
1141,115.14,0.3062
1142,140.28,0.3945
1143,5.61,0.3962
1144,114.66,0.4123
1145,128.02,0.3028
1146,134.95,0.3027
1147,5.43,0.3109
1148,5.5,0.3195
1149,124.73,0.2141
1150,138.64,0.3554
1151,5.2,0.4536
1152,179.32,0.4467
1153,126.42,0.4268
1154,116.22,0.5277
1155,114.16,0.4871
1156,129.39,0.4988
1157,129.42,0.5184
1158,140.73,0.5435
1159,140.42,0.5439
1160,145.01,0.5457
1161,129.96,0.5691
1162,131.62,0.5174
1163,169.51,0.4045
1164,76.81,0.3036
1165,5.93,0.2015
1166,5.83,0.1299
1167,5.89,0.1576
1168,81.28,0.2724
1169,111.0,0.2721
1170,147.18,0.2721
1171,5.55,0.3053
1172,5.84,0.3243
1173,122.14,0.2985
1174,134.38,0.4388
1175,115.43,0.5961
1176,178.35,0.6523
1177,199.44,0.5479
1178,191.34,0.4589
1179,5.84,0.4108
1180,5.86,0.352
1181,119.15,0.2139
1182,127.03,0.2138
1183,21.32,0.3162
1184,5.68,0.3144
1185,131.99,0.2953
1186,116.96,0.283
1187,103.52,0.3924
1188,6.14,0.424
1189,140.39,0.3479
1190,170.92,0.2685
1191,23.19,0.2808
1192,5.74,0.3011
1193,21.35,0.2681
1194,165.32,0.3431
1195,130.34,0.5
1196,115.51,0.5873
1197,198.96,0.6175
1198,128.79,0.6601
1199,202.56,0.571
1200,182.76,0.4141
1201,5.76,0.435
1202,5.76,0.3961
1203,154.64,0.3581
1204,154.6,0.4906
1205,135.93,0.5895
1206,168.9,0.4681
1207,127.55,0.4514
1208,5.19,0.4347
1209,134.06,0.3992
1210,115.3,0.3
1211,125.28,0.4181
1212,5.4,0.4696
1213,150.51,0.5618
1214,197.54,0.5595
1215,228.85,0.6651
1216,122.41,0.5472
1217,135.42,0.4815
1218,5.3,0.4073
1219,116.72,0.4187
1220,137.47,0.4548
1221,136.39,0.5869
1222,179.86,0.4965
1223,168.04,0.3897
1224,5.4,0.4195
1225,5.94,0.3874
1226,173.1,0.2558
1227,140.31,0.2563
1228,6.0,0.3615
1229,6.06,0.3308
1230,135.4,0.3163
1231,135.42,0.3162
1232,122.36,0.4234
1233,5.86,0.4149
1234,138.1,0.4049
1235,124.94,0.4012
1236,123.14,0.5353
1237,117.72,0.5281
1238,171.0,0.5369
1239,129.18,0.5452
1240,135.78,0.5977
1241,133.37,0.6059
1242,182.39,0.6661
1243,181.08,0.6994
1244,203.4,0.5958
1245,176.72,0.4524
1246,5.82,0.3101
1247,5.82,0.1496
1248,5.86,0.1165
1249,5.82,0.2127
1250,135.94,0.2268
1251,124.31,0.2265
1252,23.11,0.3148
